run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
2662,40,3,232,154,6,352.525851,-0.100919,20.669,19.61,19.108,18.888,18.763,0.077,0.013,0.012,0.013,0.038
2662,40,3,232,148,6,352.515668,-0.072548,21.547,19.888,19.095,18.815,18.635,0.152,0.016,0.012,0.012,0.034
2662,40,3,232,49,6,352.476483,-0.079087,17.172,15.915,15.637,15.545,15.507,9.068E-3,3.728E-3,4.903E-3,5.396E-3,6.392E-3
2662,40,3,233,148,6,352.537409,-0.099692,21.044,18.598,17.176,16.134,15.572,0.106,7.944E-3,5.921E-3,5.679E-3,6.377E-3
2662,40,3,232,51,6,352.47886,-0.129176,17.677,15.527,14.533,14.601,14.099,0.012,3.654E-3,8.467E-3,1.186E-3,5.017E-3
2662,40,3,232,131,3,352.468464,-0.070142,20.94,18.701,17.628,17.16,16.792,0.275,0.018,0.011,9.778E-3,0.027
2662,40,3,232,60,6,352.514886,-0.134077,17.783,16.082,15.488,15.294,15.226,0.012,3.839E-3,4.937E-3,5.306E-3,5.823E-3
2662,40,3,232,133,6,352.4697,-0.12614,21.59,18.983,17.529,16.499,15.909,0.153,9.672E-3,6.269E-3,5.845E-3,7.423E-3
2662,40,3,232,142,3,352.503518,-0.139029,19.828,18.676,17.92,17.517,17.232,0.092,0.012,0.01,0.011,0.032
2662,40,3,233,3,6,352.528193,-0.060297,19.466,18.345,17.936,17.801,17.736,0.033,6.937E-3,7.109E-3,7.777E-3,0.018
2662,40,3,232,126,6,352.456748,-0.100904,21.999,19.094,17.756,17.106,16.698,0.209,0.01,6.703E-3,6.575E-3,0.01
2662,40,3,233,149,6,352.539981,-0.119468,20.855,19.751,19.319,19.141,19.133,0.091,0.015,0.013,0.015,0.051
2662,40,3,233,150,6,352.547433,-0.099053,21.018,19.943,19.394,19.204,19.135,0.104,0.017,0.014,0.015,0.051
2662,40,3,233,143,6,352.529916,-0.056792,19.89,19.645,19.423,19.415,19.171,0.044,0.014,0.014,0.017,0.053
2662,40,3,232,140,6,352.496457,-0.143634,20.306,19.217,18.793,18.632,18.566,0.057,0.011,0.01,0.011,0.033
2662,40,3,232,146,6,352.51307,-0.044607,19.899,18.925,18.591,18.482,18.421,0.042,9.341E-3,9.067E-3,0.01,0.03
2662,40,3,232,139,6,352.491898,-0.149076,20.691,19.626,19.203,19.082,19.001,0.076,0.014,0.012,0.014,0.046
2662,40,3,232,47,6,352.468085,-0.051111,19.184,18.192,17.883,17.796,17.732,0.026,6.639E-3,6.97E-3,7.879E-3,0.018
2662,40,3,233,7,6,352.528489,-0.14533,18.801,17.776,17.429,17.281,17.276,0.022,5.57E-3,6.225E-3,6.775E-3,0.014
2662,40,3,232,457,3,352.461457,-0.137129,20.598,19.188,18.466,18.037,17.841,0.187,0.024,0.023,0.024,0.063
2662,40,3,233,146,6,352.537169,-0.048941,19.757,17.931,17.177,16.921,16.762,0.04,6.015E-3,5.9E-3,6.235E-3,0.01
2662,40,3,232,45,6,352.461319,-0.049814,19.54,18.276,18.448,18.63,18.687,0.032,6.839E-3,8.774E-3,0.011,0.037
2662,40,3,233,142,6,352.52879,-0.14939,19.956,18.46,17.783,17.484,17.342,0.047,7.434E-3,6.839E-3,7.184E-3,0.014
2662,40,3,233,156,6,352.556755,-0.120089,21.209,18.883,17.487,16.353,15.744,0.121,9.327E-3,6.339E-3,5.715E-3,6.734E-3
2662,40,3,232,53,6,352.485272,-0.028043,19.879,18.407,17.729,17.459,17.249,0.04,7.31E-3,6.644E-3,7.056E-3,0.014
2662,40,3,232,36,6,352.431015,-0.090892,19.301,17.021,16.099,15.771,15.609,0.028,4.553E-3,5.022E-3,5.553E-3,6.501E-3
2662,40,3,233,168,6,352.568881,-0.078185,21.876,19.409,18.018,17.248,16.801,0.213,0.012,7.333E-3,6.692E-3,0.011
2662,40,3,232,114,6,352.434863,-0.122567,21.116,19.085,18.233,17.908,17.725,0.1,0.01,7.855E-3,8.216E-3,0.018
2662,40,3,233,11,6,352.544296,-0.03412,18.025,17.124,16.796,16.741,16.61,0.014,4.641E-3,5.562E-3,5.844E-3,9.594E-3
2662,40,3,232,57,6,352.508837,-0.174243,17.692,16.33,15.831,15.634,15.573,0.012,3.987E-3,5.063E-3,5.482E-3,6.533E-3
2662,40,3,233,29,6,352.57353,-0.130191,14.881,15.051,10.902,14.076,11.038,8.262E-3,0.01,5.242E-4,0.012,1.493E-3
2662,40,3,233,171,6,352.582577,-0.098822,21.892,19.926,18.912,18.506,18.255,0.217,0.016,0.011,0.01,0.027
2662,40,3,233,31,3,352.575089,-0.130089,17.743,16.596,16.274,15.537,15.735,0.074,8.561E-3,0.027,0.028,0.035
2662,40,3,232,182,3,352.430253,-0.050324,20.356,19.101,18.299,17.916,17.758,0.14,0.018,0.014,0.015,0.054
2662,40,3,232,39,6,352.431085,-0.043188,18.534,17.236,16.742,16.593,16.452,0.018,4.826E-3,5.338E-3,6.137E-3,9.174E-3
2662,40,3,232,105,6,352.412501,-0.096371,21.957,19.827,18.757,18.312,18.041,0.192,0.016,9.815E-3,0.01,0.023
2662,40,3,233,178,6,352.589735,-0.074296,22.583,19.865,18.435,17.352,16.756,0.388,0.016,8.517E-3,6.867E-3,0.011
2662,40,3,233,159,6,352.55904,-0.166544,22.38,19.577,18.089,16.908,16.272,0.325,0.013,7.552E-3,6.268E-3,8.309E-3
2662,40,3,232,203,3,352.470952,-0.182915,20.383,19.163,18.368,17.981,17.637,0.128,0.018,0.015,0.018,0.043
2662,40,3,233,181,6,352.592864,-0.105878,20.859,19.2,18.5,18.215,18.055,0.093,0.011,8.804E-3,9.142E-3,0.023
2662,40,3,233,162,6,352.561698,-0.022477,19.884,17.512,16.586,16.298,16.092,0.044,5.294E-3,5.427E-3,5.744E-3,7.755E-3
2662,40,3,233,25,6,352.570174,-0.160623,18.183,16.348,15.659,15.959,15.307,0.015,4.052E-3,5.1E-3,0.013,5.839E-3
2662,40,3,233,154,6,352.553529,-0.174855,20.822,19.061,18.295,17.99,17.821,0.089,9.969E-3,8.127E-3,8.431E-3,0.02
2662,40,3,233,15,6,352.557319,-0.015937,18.497,16.951,16.347,16.15,16.002,0.018,4.572E-3,5.234E-3,5.618E-3,7.449E-3
2662,40,3,233,170,6,352.58185,-0.149894,22.626,19.863,18.692,18.248,18.023,0.402,0.016,9.615E-3,9.307E-3,0.023
2662,40,3,233,289,3,352.549431,-8.20907E-3,20.971,19.275,18.094,17.526,16.978,0.316,0.026,0.018,0.014,0.033
2662,40,3,232,147,3,352.513159,-0.19563,19.804,18.375,17.466,17.006,16.702,0.109,0.013,9.132E-3,9.546E-3,0.026
2662,40,3,233,166,6,352.563769,-0.174834,21.71,19.915,19.103,18.795,18.649,0.185,0.017,0.012,0.012,0.036
2662,40,3,233,83,6,352.59161,-0.049667,19.606,18.512,18.042,17.877,17.766,0.037,7.673E-3,7.374E-3,8.085E-3,0.019
2662,40,3,232,137,3,352.482207,-0.195131,21.215,19.376,18.057,17.54,17.2,0.221,0.018,9.474E-3,9.041E-3,0.024
2662,40,3,232,119,6,352.441704,-0.181429,20.894,19.932,19.583,19.494,19.383,0.085,0.016,0.015,0.018,0.065
2662,40,3,232,23,6,352.400414,-0.054439,17.803,16.174,15.526,15.292,15.155,0.012,3.975E-3,4.772E-3,5.462E-3,5.751E-3
2662,40,3,233,190,6,352.609305,-0.094588,21.008,19.83,19.265,19.04,18.899,0.104,0.015,0.013,0.014,0.043
2662,40,3,232,150,6,352.520776,-0.202593,23.308,19.883,18.359,17.529,17.053,0.614,0.016,8.285E-3,7.304E-3,0.012
2662,40,3,233,180,6,352.590273,-0.032316,19.831,18.355,17.737,17.492,17.309,0.043,7.089E-3,6.716E-3,7.089E-3,0.014
2662,40,3,233,86,6,352.598572,-0.044231,17.481,15.991,15.478,15.325,15.24,0.01,3.933E-3,5.001E-3,5.22E-3,5.809E-3
2662,40,3,232,33,6,352.428683,-0.010529,19.614,18.577,18.278,18.171,18.045,0.033,7.846E-3,8.097E-3,9.091E-3,0.024
2662,40,3,232,90,6,352.393062,-0.123885,21.582,19.489,18.521,18.073,17.811,0.14,0.013,8.794E-3,8.671E-3,0.02
